100000998;REPUBBLICA DEMOCRATICA DEL CONGO;COD
100000516;REPUBBLICA DOMINICANA;DOM
100000255;REPUBBLICA SLOVACCA;SVK
100000235;ROMANIA;ROU
100000446;RUANDA;RWA
100000534;S. CHRISTOPHER E NEVIS;KNA
100000533;S. VINCENT E GRENADINE;VCT
100000795;SAHARA SPAGNOLO;ESH
100000532;SAINT LUCIA;LCA
100000796;SAINT PIERRE ET MIQUELON;SPM
100000797;SAINT VINCENT E GRENADINE;VCT
100000725;SALOMONE;SLB
100000727;SAMOA;WSM
100000798;SAMOA AMERICANE;WSM
100000236;SAN MARINO;SMR
100000799;SANT ELENA;SHN
100000448;SAO TOME' E PRINCIPE;STP
100000450;SENEGAL;SEN
100001000;SERBIA;SRB
100000449;SEYCHELLES;SYC
100000451;SIERRA LEONE;SLE
100000346;SINGAPORE;SGP
100000348;SIRIA;SYR
100000251;SLOVENIA;SVN
100000453;SOMALIA;SOM
100000239;SPAGNA;ESP
100000311;SRI LANKA (CEYLON);LKA
100000536;STATI UNITI D'AMERICA;USA
100000246;STATO DELLA CITTA' DEL VATICANO;VAT
100000467;SUD SUDAN;SSD
100000454;SUDAFRICA;ZAF
100000455;SUDAN;SDN
100000616;SURINAME;SUR
100000240;SVEZIA;SWE
100000241;SVIZZERA;CHE
100000456;SWAZILAND;SWZ
100000362;TAGIKISTAN;TJK
100000363;TAIWAN;TWN
100000457;TANZANIA;TZA
100000349;THAILANDIA;THA
100000805;TIMOR;TLS
100000458;TOGO;TGO
100000806;TOKELAU;TKL
100000730;TONGA;TON
100000617;TRINIDAD E TOBAGO;TTO
100000460;TUNISIA;TUN
100000351;TURCHIA;TUR
100000364;TURKMENISTAN;TKM
100000810;TURKS;TCA
100000731;TUVALU;TUV
100000243;UCRAINA;UKR
100000461;UGANDA;UGA
100000244;UNGHERIA;HUN
100000618;URUGUAY;URY
100000357;UZBEKISTAN;UZB
100000732;VANUATU;VUT
100000619;VENEZUELA;VEN
100000812;VERGINI BRITANNICHE (ISOLE);VGB
100000353;VIETNAM;VNM
100000815;WALLIS;WLF
100000354;YEMEN;YEM
100000464;ZAMBIA;ZMB
100000465;ZIMBABWE;ZWE
